date,amount,currency,description,counterparty
2026-01-01,8000,PLN,SALARY,SALARY
2026-01-02,-2300,PLN,RENT,RENT
2026-01-05,-300,PLN,BIEDRONKA,BIEDRONKA
2026-01-15,-49.90,PLN,NETFLIX,NETFLIX
2026-01-20,-450,PLN,AMAZON,AMAZON
2026-02-01,8000,PLN,SALARY,SALARY
2026-02-02,-2300,PLN,RENT,RENT
2026-02-05,-300,PLN,BIEDRONKA,BIEDRONKA
2026-02-15,-49.90,PLN,NETFLIX,NETFLIX
2026-02-20,-450,PLN,AMAZON,AMAZON
2026-03-01,8000,PLN,SALARY,SALARY
2026-03-02,-2300,PLN,RENT,RENT
2026-03-05,-300,PLN,BIEDRONKA,BIEDRONKA
2026-03-15,-49.90,PLN,NETFLIX,NETFLIX
2026-03-20,-450,PLN,AMAZON,AMAZON
2026-04-01,8000,PLN,SALARY,SALARY
2026-04-02,-2300,PLN,RENT,RENT
2026-04-05,-300,PLN,BIEDRONKA,BIEDRONKA
2026-04-15,-49.90,PLN,NETFLIX,NETFLIX
2026-04-20,-450,PLN,AMAZON,AMAZON
2026-05-01,8000,PLN,SALARY,SALARY
2026-05-02,-2300,PLN,RENT,RENT
2026-05-05,-300,PLN,BIEDRONKA,BIEDRONKA
2026-05-15,-49.90,PLN,NETFLIX,NETFLIX
2026-05-20,-450,PLN,AMAZON,AMAZON
2026-06-01,8000,PLN,SALARY,SALARY
2026-06-02,-2300,PLN,RENT,RENT
2026-06-05,-300,PLN,BIEDRONKA,BIEDRONKA
2026-06-15,-49.90,PLN,NETFLIX,NETFLIX
2026-06-20,-450,PLN,AMAZON,AMAZON
